,pDup_32,pDup_37,pDup_42,pDup_47,pDup_52,pDup_57
0,0.8183989891039716,0.655381115122759,0.3356006458359714,0.08462265439129478,0.02709410600044157,0.009101748938165158
1,0.807467197645949,0.6201454955664469,0.2723979693826701,0.05632008960765761,0.017068796664542873,0.004654174089019983
2,0.807467197645949,0.6201454955664469,0.2723979693826701,0.05632008960765761,0.017068796664542873,0.004654174089019983
3,0.807467197645949,0.6201454955664469,0.2723979693826701,0.05632008960765761,0.017068796664542873,0.004654174089019983
4,0.8154377215497146,0.6052187521360592,0.2134739450601985,0.031286332983693724,0.007698084693104794,0.0011357864266020512
5,0.7960413469223715,0.5835962022949094,0.21720678719850536,0.03709983944937392,0.010712189146960809,0.002374700879375883
6,0.8696304032391583,0.6857070742683115,0.23972708769998766,0.02687798899857003,0.005259315136442269,0.0004996694169577241
7,0.8696304032391583,0.6857070742683115,0.23972708769998766,0.02687798899857003,0.005259315136442269,0.0004996694169577241
8,0.755784336883961,0.5479953209070727,0.23215624980555946,0.05360061775323157,0.019246235379882307,0.00722729342109246
9,0.755784336883961,0.5479953209070727,0.23215624980555946,0.05360061775323157,0.019246235379882307,0.00722729342109246
10,0.8921988777125899,0.7752088995280841,0.43644797097149973,0.09309664954734469,0.02134141200419236,0.003775188805550536
11,0.8921988777125899,0.7752088995280841,0.43644797097149973,0.09309664954734469,0.02134141200419236,0.003775188805550536
12,0.8850858115423491,0.7475049041823603,0.3646775562111962,0.06215234048625348,0.013415352335516863,0.0019253831557731066
13,0.8850858115423491,0.7475049041823603,0.3646775562111962,0.06215234048625348,0.013415352335516863,0.0019253831557731066
14,0.8311449150527915,0.6183459422841995,0.20296551944645003,0.025541680215522188,0.005939340533827221,0.0007777126665197508
15,0.8311449150527915,0.6183459422841995,0.20296551944645003,0.025541680215522188,0.005939340533827221,0.0007777126665197508
16,0.8696304032391583,0.6857070742683115,0.23972708769998766,0.02687798899857003,0.005259315136442269,0.0004996694169577241
17,0.8696304032391583,0.6857070742683115,0.23972708769998766,0.02687798899857003,0.005259315136442269,0.0004996694169577241
18,0.8696304032391583,0.6857070742683115,0.23972708769998766,0.02687798899857003,0.005259315136442269,0.0004996694169577241
19,0.8696304032391583,0.6857070742683115,0.23972708769998766,0.02687798899857003,0.005259315136442269,0.0004996694169577241
20,0.8183989891039716,0.655381115122759,0.3356006458359714,0.08462265439129478,0.02709410600044157,0.009101748938165158
21,0.8183989891039716,0.655381115122759,0.3356006458359714,0.08462265439129478,0.02709410600044157,0.009101748938165158
22,0.8409970450883384,0.6536552623336657,0.2557201888467553,0.03901664456395566,0.00949091342983922,0.001526584089999946
23,0.7960413469223715,0.5835962022949094,0.21720678719850536,0.03709983944937392,0.010712189146960809,0.002374700879375883
24,0.8850858115423491,0.7475049041823603,0.3646775562111962,0.06215234048625348,0.013415352335516863,0.0019253831557731066
25,0.8503778183834141,0.6873496050820648,0.3167377500766242,0.05916890994608275,0.015133902931453534,0.002994394325259006
26,0.755784336883961,0.5479953209070727,0.23215624980555946,0.05360061775323157,0.019246235379882307,0.00722729342109246
